epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.576,1.96733,3.0791,2.15603,0.27533,0.24242,0.1877,0.06346,2.29818,3.64277,2.67406,0.00065942,0.00065942,0.00065942
2,196.251,1.95322,2.80404,2.10228,0.13086,0.25541,0.08021,0.02321,2.33872,4.62436,2.53203,0.00129983,0.00129983,0.00129983
3,220.886,1.96216,2.5343,2.08949,0.19781,0.22078,0.1145,0.03324,2.71151,3.29324,3.04377,0.00191384,0.00191384,0.00191384
4,245.719,1.96393,2.45366,2.07137,0.31512,0.25108,0.21464,0.08486,2.47179,4.87405,2.64104,0.0018812,0.0018812,0.0018812
5,270.548,1.98024,2.47826,2.13138,0.3974,0.32035,0.33013,0.13604,2.21444,2.50675,2.40841,0.0018416,0.0018416,0.0018416
6,295.18,1.88548,2.36331,2.05263,0.43442,0.25974,0.26985,0.11003,2.13476,3.39408,2.3253,0.001802,0.001802,0.001802
7,319.81,1.88791,2.27283,2.00884,0.40442,0.36797,0.31367,0.11819,2.26848,3.22656,2.43652,0.0017624,0.0017624,0.0017624
8,344.559,1.87943,2.21039,2.01961,0.40909,0.38961,0.34604,0.13192,2.26143,2.2807,2.3589,0.0017228,0.0017228,0.0017228
9,369.316,1.85567,2.18844,1.97577,0.41809,0.39394,0.3531,0.13794,2.15776,2.21292,2.26962,0.0016832,0.0016832,0.0016832
10,393.902,1.83784,2.14362,1.98013,0.52256,0.38528,0.39114,0.16489,2.20415,2.18082,2.27603,0.0016436,0.0016436,0.0016436
11,418.619,1.80869,2.11887,1.95167,0.52086,0.42825,0.46519,0.20487,2.07399,2.15662,2.16484,0.001604,0.001604,0.001604
12,443.215,1.77918,1.92383,1.88649,0.46099,0.37662,0.41383,0.17333,2.22441,2.17785,2.33614,0.0015644,0.0015644,0.0015644
13,467.873,1.77477,1.98079,1.8633,0.47066,0.41558,0.42345,0.15377,2.17284,2.37122,2.30672,0.0015248,0.0015248,0.0015248
14,492.539,1.72961,1.90614,1.86427,0.62154,0.51899,0.57622,0.25233,2.06295,1.95492,2.22751,0.0014852,0.0014852,0.0014852
15,517.201,1.76107,1.92201,1.88098,0.53114,0.46589,0.45294,0.20008,2.05186,2.24568,2.19346,0.0014456,0.0014456,0.0014456
16,541.824,1.73688,1.92567,1.87455,0.57901,0.54182,0.5631,0.24254,2.04204,1.8561,2.15154,0.001406,0.001406,0.001406
17,566.463,1.71305,1.88625,1.84801,0.5984,0.48485,0.55665,0.25623,1.97755,1.81262,2.10168,0.0013664,0.0013664,0.0013664
18,591.221,1.73171,1.87114,1.83987,0.6755,0.54069,0.60325,0.25689,2.04044,1.81282,2.1437,0.0013268,0.0013268,0.0013268
19,615.911,1.68934,1.80079,1.81747,0.6699,0.49784,0.56997,0.24477,2.01766,1.93412,2.15712,0.0012872,0.0012872,0.0012872
20,640.522,1.69275,1.78662,1.81409,0.76243,0.52814,0.63138,0.2736,2.056,1.76612,2.0975,0.0012476,0.0012476,0.0012476
21,665.198,1.68575,1.74872,1.77738,0.73094,0.52381,0.6055,0.26327,1.99025,1.74444,2.08052,0.001208,0.001208,0.001208
22,689.802,1.65962,1.78664,1.78816,0.68338,0.53247,0.59459,0.2696,1.91137,1.90041,2.07931,0.0011684,0.0011684,0.0011684
23,714.607,1.66461,1.71812,1.7673,0.72731,0.49784,0.58787,0.26748,2.0221,1.77876,2.11517,0.0011288,0.0011288,0.0011288
24,739.266,1.68952,1.72968,1.78444,0.65296,0.53247,0.59577,0.27162,1.99949,1.73977,2.09495,0.0010892,0.0010892,0.0010892
25,764.178,1.59643,1.6334,1.73439,0.82429,0.56862,0.65679,0.31228,1.93322,1.71673,2.05053,0.0010496,0.0010496,0.0010496
26,788.938,1.56887,1.63434,1.73271,0.75691,0.55265,0.63107,0.29025,1.97003,1.72595,2.09161,0.00101,0.00101,0.00101
27,813.57,1.62059,1.62746,1.75518,0.67909,0.58874,0.63521,0.28717,1.94448,1.6488,2.05104,0.0009704,0.0009704,0.0009704
28,838.343,1.57739,1.59425,1.72551,0.78908,0.53444,0.66161,0.30741,1.91306,1.5933,2.02812,0.0009308,0.0009308,0.0009308
29,863.15,1.57112,1.59421,1.71941,0.74776,0.55844,0.65743,0.28565,1.96961,1.62377,2.06834,0.0008912,0.0008912,0.0008912
30,887.833,1.56851,1.59619,1.72829,0.73514,0.61039,0.68386,0.32091,1.87171,1.60476,2.01083,0.0008516,0.0008516,0.0008516
31,912.639,1.52356,1.55464,1.68443,0.75282,0.60648,0.6876,0.33075,1.89199,1.59781,2.05691,0.000812,0.000812,0.000812
32,937.425,1.542,1.53335,1.69203,0.82447,0.61,0.69343,0.33792,1.8533,1.4675,1.98249,0.0007724,0.0007724,0.0007724
33,962.251,1.51304,1.506,1.67279,0.77577,0.62903,0.70956,0.34686,1.84598,1.46639,1.94678,0.0007328,0.0007328,0.0007328
34,986.97,1.53151,1.49653,1.66329,0.77308,0.64935,0.71726,0.34427,1.834,1.51568,1.96505,0.0006932,0.0006932,0.0006932
35,1011.73,1.51074,1.48083,1.65424,0.80623,0.5944,0.69379,0.34451,1.83514,1.50111,1.96083,0.0006536,0.0006536,0.0006536
36,1036.63,1.46372,1.46054,1.64375,0.72531,0.62867,0.69913,0.35685,1.78513,1.46197,1.93387,0.000614,0.000614,0.000614
37,1061.43,1.46937,1.42487,1.62233,0.8352,0.61428,0.71822,0.35814,1.79565,1.42902,1.91434,0.0005744,0.0005744,0.0005744
38,1086.54,1.48073,1.44201,1.63574,0.77829,0.60606,0.68935,0.35133,1.80156,1.47605,1.94039,0.0005348,0.0005348,0.0005348
39,1111.36,1.45511,1.44111,1.62278,0.76183,0.66468,0.71363,0.36136,1.79627,1.4375,1.97692,0.0004952,0.0004952,0.0004952
40,1136.1,1.40204,1.36476,1.58038,0.76339,0.65801,0.74,0.35803,1.84091,1.41435,1.95356,0.0004556,0.0004556,0.0004556
41,1218.5,1.51556,1.32521,1.72072,0.73488,0.63636,0.67657,0.33495,1.82748,1.49684,1.94338,0.000416,0.000416,0.000416
42,1243.25,1.49175,1.25829,1.7032,0.77591,0.68831,0.7475,0.361,1.86103,1.40163,1.97499,0.0003764,0.0003764,0.0003764
43,1267.91,1.45006,1.23063,1.67587,0.78167,0.66234,0.73306,0.36343,1.78494,1.42233,1.92095,0.0003368,0.0003368,0.0003368
44,1292.65,1.41818,1.16286,1.64632,0.81664,0.61697,0.73417,0.36992,1.82987,1.39848,1.93173,0.0002972,0.0002972,0.0002972
45,1317.53,1.4439,1.17781,1.66203,0.81909,0.63636,0.72546,0.36236,1.79961,1.40585,1.92196,0.0002576,0.0002576,0.0002576
46,1342.23,1.37503,1.13593,1.63209,0.76391,0.67236,0.7344,0.37151,1.7646,1.38072,1.90573,0.000218,0.000218,0.000218
47,1366.88,1.35798,1.11912,1.59738,0.77574,0.67387,0.73658,0.3686,1.81453,1.36347,1.9466,0.0001784,0.0001784,0.0001784
48,1391.62,1.34668,1.11596,1.60283,0.82329,0.64069,0.73885,0.3666,1.82484,1.38012,1.97181,0.0001388,0.0001388,0.0001388
49,1416.28,1.31454,1.08518,1.56912,0.84329,0.62896,0.74743,0.3756,1.78963,1.372,1.93366,9.92e-05,9.92e-05,9.92e-05
50,1441.05,1.31775,1.06257,1.56628,0.80631,0.64935,0.74956,0.37781,1.77608,1.37338,1.92214,5.96e-05,5.96e-05,5.96e-05
